id,name,code,district_id:id
corregimiento_almirante,Almirante,1-2-2,district_changuinola
corregimiento_bastimentos,Bastimentos,1-1-2,district_bocas_del_toro
corregimiento_bocas_del_toro_cabecera,Bocas Del Toro (Cabecera),1-1-1,district_bocas_del_toro
corregimiento_cauchero,Cauchero,1-1-3,district_bocas_del_toro
corregimiento_changuinola_cabecera,Changuinola (Cabecera),1-2-1,district_changuinola
corregimiento_chiriqui_grande_cabecera,Chiriqui Grande (Cabecera),1-3-1,district_chiriqui_grande
corregimiento_el_empalme,El Empalme,1-2-6,district_changuinola
corregimiento_guabito,Guabito,1-2-3,district_changuinola
corregimiento_las_tablas,Las Tablas,1-2-7,district_changuinola
corregimiento_miramar,Miramar,1-3-2,district_chiriqui_grande
corregimiento_punta_laurel,Punta Laurel,1-1-4,district_bocas_del_toro
corregimiento_punta_pena,Punta Peña,1-3-3,district_chiriqui_grande
corregimiento_punta_robalo,Punta Robalo,1-3-4,district_chiriqui_grande
corregimiento_rambala,Rambala,1-3-5,district_chiriqui_grande
corregimiento_teribe,Teribe,1-2-4,district_changuinola
corregimiento_tierra_oscura,Tierra Oscura,1-1-5,district_bocas_del_toro
corregimiento_valle_del_risco,Valle Del Risco,1-2-5,district_changuinola
corregimiento_alanje_cabecera,Alanje (Cabecera),4-1-1,district_alanje
corregimiento_alto_boquete,Alto Boquete,4-4-4,district_boquete
corregimiento_aserrio_de_gariche,Aserrio De Gariche,4-5-2,district_bugaba
corregimiento_baco,Baco,4-2-4,district_baru
corregimiento_bagala,Bagala,4-3-2,district_boqueron
corregimiento_bajo_boquete_cabecera,Bajo Boquete (Cabecera),4-4-1,district_boquete
corregimiento_bella_vista,Bella Vista,4-13-2,district_tole
corregimiento_bijagual,Bijagual,4-6-2,district_david
corregimiento_boca_chica,Boca Chica,4-12-2,district_san_lorenzo
corregimiento_boca_del_monte,Boca Del Monte,4-12-3,district_san_lorenzo
corregimiento_boqueron_cabecera,Boqueron (Cabecera),4-3-1,district_boqueron
corregimiento_brenon,Breñon,4-10-2,district_renacimiento
corregimiento_bugaba,Bugaba,4-5-3,district_bugaba
corregimiento_caldera,Caldera,4-4-2,district_boquete
corregimiento_canta_gallo,Canta Gallo,4-1-8,district_alanje
corregimiento_canas_gordas,Cañas Gordas,4-10-3,district_renacimiento
corregimiento_cerro_punta,Cerro Punta,4-5-4,district_bugaba
corregimiento_cerro_viejo,Cerro Viejo,4-13-3,district_tole
corregimiento_chiriqui,Chiriqui,4-6-4,district_david
corregimiento_cochea,Cochea,4-6-3,district_david
corregimiento_cordillera,Cordillera,4-3-3,district_boqueron
corregimiento_david_cabecera,David (Cabecera),4-6-1,district_david
corregimiento_divala,Divala,4-1-2,district_alanje
corregimiento_dolega_cabecera,Dolega (Cabecera),4-7-1,district_dolega
corregimiento_dominical,Dominical,4-10-7,district_renacimiento
corregimiento_dos_rios,Dos Rios,4-7-2,district_dolega
corregimiento_el_bongo,El Bongo,4-5-13,district_bugaba
corregimiento_el_cristo,El Cristo,4-13-4,district_tole
corregimiento_el_nancito,El Nancito,4-9-2,district_remedios
corregimiento_el_porvenir,El Porvenir,4-9-3,district_remedios
corregimiento_el_puerto,El Puerto,4-9-4,district_remedios
corregimiento_el_tejar,El Tejar,4-1-3,district_alanje
corregimiento_gomez,Gomez,4-5-5,district_bugaba
corregimiento_guabal,Guabal,4-3-4,district_boqueron
corregimiento_guaca,Guaca,4-6-5,district_david
corregimiento_gualaca_cabecera,Gualaca (Cabecera),4-8-1,district_gualaca
corregimiento_guarumal,Guarumal,4-1-4,district_alanje
corregimiento_guayabal,Guayabal,4-3-5,district_boqueron
corregimiento_horconcitos_cabecera,Horconcitos (Cabecera),4-12-1,district_san_lorenzo
corregimiento_hornito,Hornito,4-8-2,district_gualaca
corregimiento_jaramillo,Jaramillo,4-4-5,district_boquete
corregimiento_juay,Juay,4-11-2,district_san_felix
corregimiento_justo_fidel_palacios,Justo Fidel Palacios,4-13-5,district_tole
corregimiento_la_concepcion_cabecera,La Concepcion (Cabecera),4-5-1,district_bugaba
corregimiento_la_estrella,La Estrella,4-5-6,district_bugaba
corregimiento_lajas_adentro,Lajas Adentro,4-11-3,district_san_felix
corregimiento_lajas_de_tole,Lajas De Tole,4-13-6,district_tole
corregimiento_las_lajas_cabecera,Las Lajas (Cabecera),4-11-1,district_san_felix
corregimiento_las_lomas,Las Lomas,4-6-6,district_david
corregimiento_limones,Limones,4-2-2,district_baru
corregimiento_los_algarrrobos,Los Algarrrobos,4-7-8,district_dolega
corregimiento_los_anastacios,Los Anastacios,4-7-3,district_dolega
corregimiento_los_angeles,Los Angeles,4-8-3,district_gualaca
corregimiento_los_naranjos,Los Naranjos,4-4-6,district_boquete
corregimiento_monte_lirio,Monte Lirio,4-10-4,district_renacimiento
corregimiento_nuevo_mexico,Nuevo Mexico,4-1-9,district_alanje
corregimiento_paja_de_sombrero,Paja De Sombrero,4-8-4,district_gualaca
corregimiento_palmira,Palmira,4-4-3,district_boquete
corregimiento_palo_grande,Palo Grande,4-1-5,district_alanje
corregimiento_paraiso,Paraiso,4-3-6,district_boqueron
corregimiento_pedregal,Pedregal,4-3-7,district_boqueron
corregimiento_pedregal,Pedregal,4-6-7,district_david
corregimiento_plaza_caisan,Plaza Caisan,4-10-5,district_renacimiento
corregimiento_potrerillos,Potrerillos,4-7-4,district_dolega
corregimiento_potrerillos_abajo,Potrerillos Abajo,4-7-5,district_dolega
corregimiento_potrero_de_cana,Potrero De Caña,4-13-7,district_tole
corregimiento_progreso,Progreso,4-2-3,district_baru
corregimiento_puerto_armuelles_cabecera,Puerto Armuelles (Cabecera),4-2-1,district_baru
corregimiento_quebrada_de_piedra,Quebrada De Piedra,4-13-8,district_tole
corregimiento_querevalo,Querevalo,4-1-6,district_alanje
corregimiento_remedios_cabecera,Remedios (Cabecera),4-9-1,district_remedios
corregimiento_rincon,Rincon,4-8-5,district_gualaca
corregimiento_rio_sereno_cabecera,Rio Sereno (Cabecera),4-10-1,district_renacimiento
corregimiento_rodolfo_aguilar_delgado,Rodolfo Aguilar Delgado,4-2-5,district_baru
corregimiento_rovira,Rovira,4-7-6,district_dolega
corregimiento_san_andres,San Andres,4-5-7,district_bugaba
corregimiento_san_carlos,San Carlos,4-6-8,district_david
