id,name,code,parent_id:id
pa_goods_service_family_1010,Animales vivos,1010,pa_goods_service_segment_10
pa_goods_service_family_1011,Productos para animales domésticos,1011,pa_goods_service_segment_10
pa_goods_service_family_1012,Comida de animales,1012,pa_goods_service_segment_10
pa_goods_service_family_1013,Recipientes y hábitat para animales,1013,pa_goods_service_segment_10
pa_goods_service_family_1014,Productos de talabartería y arreo,1014,pa_goods_service_segment_10
pa_goods_service_family_1015,"Semillas, bulbos, plántulas y esquejes",1015,pa_goods_service_segment_10
pa_goods_service_family_1016,Productos de floricultura y silvicultura,1016,pa_goods_service_segment_10
pa_goods_service_family_1017,Fertilizantes y nutrientes para plantas y herbicidas,1017,pa_goods_service_segment_10
pa_goods_service_family_1019,Productos para el control de plagas,1019,pa_goods_service_segment_10
pa_goods_service_family_1020,Rosales vivos,1020,pa_goods_service_segment_10
pa_goods_service_family_1021,Plantas vivas de especies o variedades de flores altas,1021,pa_goods_service_segment_10
pa_goods_service_family_1022,Plantas vivas de especies o variedades de flores bajas,1022,pa_goods_service_segment_10
pa_goods_service_family_1023,Crisantemos vivos,1023,pa_goods_service_segment_10
pa_goods_service_family_1024,Claveles vivos,1024,pa_goods_service_segment_10
pa_goods_service_family_1025,Orquídeas vivas,1025,pa_goods_service_segment_10
pa_goods_service_family_1030,Rosas frescas cortadas,1030,pa_goods_service_segment_10
pa_goods_service_family_1031,Bouquets cortados frescos de especies o variedades de flores altas,1031,pa_goods_service_segment_10
pa_goods_service_family_1032,Bouquets cortados frescos de especies o variedades de flores bajas,1032,pa_goods_service_segment_10
pa_goods_service_family_1033,Crisantemos cortados frescos,1033,pa_goods_service_segment_10
pa_goods_service_family_1034,Bouquets florales cortados frescos,1034,pa_goods_service_segment_10
pa_goods_service_family_1035,Claveles cortados frescos,1035,pa_goods_service_segment_10
pa_goods_service_family_1036,Orquídeas cortadas frescas,1036,pa_goods_service_segment_10
pa_goods_service_family_1040,Rosas cortadas secas,1040,pa_goods_service_segment_10
pa_goods_service_family_1041,Bouquets cortados secos de especies o variedades de flores altas,1041,pa_goods_service_segment_10
pa_goods_service_family_1042,Bouquets cortados secos de especies o variedades de flores bajas,1042,pa_goods_service_segment_10
pa_goods_service_family_1043,Crisantemos cortados secos,1043,pa_goods_service_segment_10
pa_goods_service_family_1044,Claveles cortados secos,1044,pa_goods_service_segment_10
pa_goods_service_family_1045,Orquídeas cortadas secas,1045,pa_goods_service_segment_10
pa_goods_service_family_1050,Follaje cortado fresco,1050,pa_goods_service_segment_10
pa_goods_service_family_1110,"Minerales, minerales metálicos y metales",1110,pa_goods_service_segment_11
pa_goods_service_family_1111,Tierra y piedra,1111,pa_goods_service_segment_11
pa_goods_service_family_1112,Productos no comestibles de planta y silvicultura,1112,pa_goods_service_segment_11
pa_goods_service_family_1113,Productos animales no comestibles,1113,pa_goods_service_segment_11
pa_goods_service_family_1114,Chatarra y materiales de desecho,1114,pa_goods_service_segment_11
pa_goods_service_family_1115,"Fibra, hilos e hilados",1115,pa_goods_service_segment_11
pa_goods_service_family_1116,Tejidos y materiales de cuero,1116,pa_goods_service_segment_11
pa_goods_service_family_1117,Aleaciones,1117,pa_goods_service_segment_11
pa_goods_service_family_1118,Óxido metálico,1118,pa_goods_service_segment_11
pa_goods_service_family_1119,Desechos metálicos y chatarra,1119,pa_goods_service_segment_11
pa_goods_service_family_1213,Materiales explosivos,1213,pa_goods_service_segment_12
pa_goods_service_family_1214,Elementos y gases,1214,pa_goods_service_segment_12
pa_goods_service_family_1216,Aditivos,1216,pa_goods_service_segment_12
pa_goods_service_family_1217,Colorantes,1217,pa_goods_service_segment_12
pa_goods_service_family_1218,Ceras y aceites,1218,pa_goods_service_segment_12
pa_goods_service_family_1219,Solventes,1219,pa_goods_service_segment_12
pa_goods_service_family_1235,Compuestos y mezclas,1235,pa_goods_service_segment_12
pa_goods_service_family_1310,Caucho y elastómeros,1310,pa_goods_service_segment_13
pa_goods_service_family_1311,Resinas y colofonias y otros materiales derivados de resina,1311,pa_goods_service_segment_13
pa_goods_service_family_1400,Materiales y Productos de Papel,1400,pa_goods_service_segment_14
pa_goods_service_family_1410,Materiales de papel,1410,pa_goods_service_segment_14
pa_goods_service_family_1411,Productos de papel,1411,pa_goods_service_segment_14
pa_goods_service_family_1412,Papel para uso industrial,1412,pa_goods_service_segment_14
pa_goods_service_family_1510,Combustibles,1510,pa_goods_service_segment_15
pa_goods_service_family_1511,Combustibles gaseosos y aditivos,1511,pa_goods_service_segment_15
pa_goods_service_family_1512,"Lubricantes, aceites, grasas y anticorrosivos",1512,pa_goods_service_segment_15
pa_goods_service_family_1513,Combustible para reactores nucleares,1513,pa_goods_service_segment_15
pa_goods_service_family_2010,Maquinaria y equipo de minería y explotación de canteras,2010,pa_goods_service_segment_20
pa_goods_service_family_2011,Equipo de perforación y explotación de pozos,2011,pa_goods_service_segment_20
pa_goods_service_family_2012,Equipo para perforación y exploración de petróleo y gas,2012,pa_goods_service_segment_20
