id,name,code
panama_uom_um,Micrómetro: 10-6 m,um
panama_uom_mm,Milímetro: 10-3 m,mm
panama_uom_cm,Centímetro: 10-2 m,cm
panama_uom_dm,Decímetro: 10-1 m,dm
panama_uom_m,Metro,m
panama_uom_dam,Decámetro: 10 m,dam
panama_uom_hm,Hectómetro: 100 m,hm
panama_uom_km,Kilómetro: 1000 m,km
panama_uom_mi,Milla internacional: 1609.3 m,mi
panama_uom_nmi,Milla náutica: 1.852 m,nmi
panama_uom_in,Pulgada: 2.54 cm,in
panama_uom_ft,"Pie: 12 in, o 30.48 cm",ft
panama_uom_yd,"Yarda: 3 ft, o 91.44 cm",yd
panama_uom_mm2,Milímetro cuadrado,mm2
panama_uom_cm2,Centímetro cuadrado,cm2
panama_uom_dm2,Decímetro cuadrado,dm2
panama_uom_m2,Metro cuadrado,m2
panama_uom_ha,Hectárea: 1000 m2,ha
panama_uom_km2,Kilómetro cuadrado,km2
panama_uom_acre,Acre: 4046.87260987 m2,acre
panama_uom_mi2,Milla cuadrada,mi2
panama_uom_ping,Unidad de área equivalente a 3.3 metros cuadrados.,Ping
panama_uom_in2,Pulgada cuadrada,in2
panama_uom_ft2,Pie cuadrado,Ft2
panama_uom_yd2,Yarda cuadrada,yd2
panama_uom_ul,Microlitro: 10-6 l,ul
panama_uom_ml,Mililitro: 10-3 l,ml
panama_uom_cl,Centilitro: 10-2 l,cl
panama_uom_dl,Decilitro: 10-1 l,dl
panama_uom_l,Litro,l
panama_uom_dal,Decalitro: 10 l,dal
panama_uom_hl,Hectolitro: 100 l,hl
panama_uom_kl,Kilolitro: 1000 l,kl
panama_uom_mm3,Milímetro cúbico: 10-6 l,mm3
panama_uom_cm3,Centímetro cúbico: 10-3 l,cm3
panama_uom_dm3,Decímetro cúbico: 1 l,dm3
panama_uom_m3,Metro cúbico: 1000 l,m3
panama_uom_fl_oz,Onza líquida EUA: 29.5735295625 ml,fl oz
panama_uom_gill,"Gill: 4 fl oz, o 118.29411825 ml",gill
